10:00 am,11:00 am,12:00 pm,1:00 pm,2:00 pm,3:00 pm,4:00 pm,5:00 pm,6:00 pm,7:00 pm,8:00 pm,9:00 pm
50,70,85,85,75,70,65,70,75,75,65,50
55,75,95,95,80,70,70,75,85,85,75,60
55,75,95,95,85,75,70,75,85,85,75,60
55,75,95,95,85,75,70,80,90,90,80,65
55,75,95,95,90,80,75,85,95,100,95,80
55,75,85,95,95,95,90,90,95,95,90,75
50,65,80,85,85,80,80,80,80,75,65,50
