10:00 am,11:00 am,12:00 pm,1:00 pm,2:00 pm,3:00 pm,4:00 pm,5:00 pm,6:00 pm,7:00 pm,8:00 pm,9:00 pm,10:00 pm
20,30,45,50,50,45,45,45,50,50,45,30,0
20,35,45,50,50,45,45,50,55,60,50,35,0
20,35,45,55,50,45,45,50,60,65,55,40,0
20,35,50,55,50,50,50,55,65,65,60,45,0
25,35,55,60,60,60,60,70,80,85,80,60,40
25,45,65,80,85,90,95,100,100,95,80,60,35
25,40,60,75,80,85,85,85,80,75,60,40,0
